2016-04-25 10:54:29,796 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dynamo-parent:dynamo:0.0.1-SNAPSHOT @ C:\Users\ll42079\Worksapce-new\pom.xml.
2016-04-25 10:54:29,827 [Worker-31] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:31,418 [New I/O client worker #6-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.pom
2016-04-25 10:54:31,418 [New I/O client worker #6-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.pom
2016-04-25 10:54:32,183 [Worker-31] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:33,602 [New I/O client worker #7-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcomponents-client/4.5.2/httpcomponents-client-4.5.2.pom
2016-04-25 10:54:33,914 [New I/O client worker #7-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcomponents-client/4.5.2/httpcomponents-client-4.5.2.pom
2016-04-25 10:54:34,715 [Worker-31] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:36,103 [New I/O client worker #8-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/commons-codec/commons-codec/1.9/commons-codec-1.9.pom
2016-04-25 10:54:36,306 [New I/O client worker #8-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/commons-codec/commons-codec/1.9/commons-codec-1.9.pom
2016-04-25 10:54:37,185 [Worker-31] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:38,636 [New I/O client worker #9-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar
2016-04-25 10:54:39,260 [New I/O client worker #9-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/commons-codec/commons-codec/1.9/commons-codec-1.9.jar
2016-04-25 10:54:43,570 [New I/O client worker #9-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/commons-codec/commons-codec/1.9/commons-codec-1.9.jar
2016-04-25 10:54:43,835 [New I/O client worker #9-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar
